N1,P1,P2,N3,P3,N1_prev1,P1_prev1,P2_prev1,N3_prev1,P3_prev1,N1_prev2,P1_prev2,P2_prev2,N3_prev2,P3_prev2,N1_prev3,P1_prev3,P2_prev3,N3_prev3,P3_prev3,AP,Predicted AP,subject
3.73888e-05,-0.0006194098,-3.05716167e-05,0.000123463,-0.00021162,1.84327e-05,-0.0004207047,1.95747316e-06,6.9123e-05,-0.000211763,-3.0095e-06,0.0001038554,-1.41034707e-05,-1.33246e-05,-3.661e-05,-3.0158e-06,0.0001147648,1.83500633e-05,-3.19397e-05,-7.8872e-05,6.0,3.0,S1_26C
4.75545e-05,-0.00077971,9.20669336e-05,0.000172316,-0.000241815,3.73888e-05,-0.0006194098,-3.05716167e-05,0.000123463,-0.00021162,1.84327e-05,-0.0004207047,1.95747316e-06,6.9123e-05,-0.000211763,-3.0095e-06,0.0001038554,-1.41034707e-05,-1.33246e-05,-3.661e-05,6.0,3.0,S1_26C
4.97416e-05,-0.0004295948,0.000266468734,0.000189175,-7.2833e-05,4.75545e-05,-0.00077971,9.20669336e-05,0.000172316,-0.000241815,3.73888e-05,-0.0006194098,-3.05716167e-05,0.000123463,-0.00021162,1.84327e-05,-0.0004207047,1.95747316e-06,6.9123e-05,-0.000211763,6.0,0.0,S1_26C
3.18995e-05,-0.0007165383,0.000372249284,0.000130915,-0.000183544,4.97416e-05,-0.0004295948,0.000266468734,0.000189175,-7.2833e-05,4.75545e-05,-0.00077971,9.20669336e-05,0.000172316,-0.000241815,3.73888e-05,-0.0006194098,-3.05716167e-05,0.000123463,-0.00021162,6.0,0.0,S1_26C
3.6323e-05,-0.0008296907,0.000146820385,0.000173917,-0.000210626,3.18995e-05,-0.0007165383,0.000372249284,0.000130915,-0.000183544,4.97416e-05,-0.0004295948,0.000266468734,0.000189175,-7.2833e-05,4.75545e-05,-0.00077971,9.20669336e-05,0.000172316,-0.000241815,6.0,0.0,S1_26C
-7.5201e-06,0.0001551925,0.000119366712,9.78437e-05,-0.000103569,-4.3879e-06,0.0001455744,6.9485417e-05,5.4688e-05,-0.000114764,7.2275e-06,0.0001354097,-3.24279899e-05,5.77358e-05,-5.5488e-05,7.4478e-06,0.0001108185,9.96194867e-05,5.96797e-05,-7.3285e-05,7.0,8.0,S1_26C
3.10341e-05,0.000183966,0.000159121671,0.0001297179,-0.000129911,-7.5201e-06,0.0001551925,0.000119366712,9.78437e-05,-0.000103569,-4.3879e-06,0.0001455744,6.9485417e-05,5.4688e-05,-0.000114764,7.2275e-06,0.0001354097,-3.24279899e-05,5.77358e-05,-5.5488e-05,7.0,8.0,S1_26C
4.38726e-05,0.0001994626,0.000162247103,0.0001510307,-0.00013033,3.10341e-05,0.000183966,0.000159121671,0.0001297179,-0.000129911,-7.5201e-06,0.0001551925,0.000119366712,9.78437e-05,-0.000103569,-4.3879e-06,0.0001455744,6.9485417e-05,5.4688e-05,-0.000114764,7.0,0.0,S1_26C
4.50673e-05,0.0002292863,0.000175187204,0.0001490399,-0.000151616,4.38726e-05,0.0001994626,0.000162247103,0.0001510307,-0.00013033,3.10341e-05,0.000183966,0.000159121671,0.0001297179,-0.000129911,-7.5201e-06,0.0001551925,0.000119366712,9.78437e-05,-0.000103569,7.0,6.0,S1_26C
6.388e-07,0.0002094699,0.000143674872,4.27717e-05,-7.4709e-05,2.785e-06,0.0001280921,0.000154423149,3.67165e-05,-9.0133e-05,7.1331e-06,2.26853e-05,0.000183465701,4.74318e-05,-6.3029e-05,1.01657e-05,-1.61449e-05,0.000182411794,5.10839e-05,-7.3208e-05,8.0,8.0,S1_26C
1.47843e-05,0.0003036475,0.000165407604,7.64775e-05,-0.000118385,6.388e-07,0.0002094699,0.000143674872,4.27717e-05,-7.4709e-05,2.785e-06,0.0001280921,0.000154423149,3.67165e-05,-9.0133e-05,7.1331e-06,2.26853e-05,0.000183465701,4.74318e-05,-6.3029e-05,8.0,9.0,S1_26C
2.41234e-05,0.0003100935,0.000275563973,9.86749e-05,-0.000161894,1.47843e-05,0.0003036475,0.000165407604,7.64775e-05,-0.000118385,6.388e-07,0.0002094699,0.000143674872,4.27717e-05,-7.4709e-05,2.785e-06,0.0001280921,0.000154423149,3.67165e-05,-9.0133e-05,8.0,5.0,S1_26C
2.64196e-05,0.0002990289,0.000158693394,0.0001046745,-6.8604e-05,2.41234e-05,0.0003100935,0.000275563973,9.86749e-05,-0.000161894,1.47843e-05,0.0003036475,0.000165407604,7.64775e-05,-0.000118385,6.388e-07,0.0002094699,0.000143674872,4.27717e-05,-7.4709e-05,8.0,9.0,S1_26C
