N1;P1;P2;N3;P3;AP;N1_prev1;P1_prev1;P2_prev1;N3_prev1;P3_prev1;N1_prev2;P1_prev2;P2_prev2;N3_prev2;P3_prev2;N1_prev3;P1_prev3;P2_prev3;N3_prev3;P3_prev3
-0.0013137483;0.0001406997;0.000312371325;0.000381661;-0.0004116865;1.0;-0.0012311609;0.000146573;0.000321677362;0.0003862927;-0.0004175924;-0.0010920777;0.0001447866;0.00031281836;0.0003711355;-0.0004046026;-0.0007534781;0.0001371154;0.000295153819;0.0003409171;-0.0003734461
-0.0012275619;6.84166e-05;0.000157208313;0.0002707371;-0.000193856;0.0;-0.0013137483;0.0001406997;0.000312371325;0.000381661;-0.0004116865;-0.0012311609;0.000146573;0.000321677362;0.0003862927;-0.0004175924;-0.0010920777;0.0001447866;0.00031281836;0.0003711355;-0.0004046026
-0.0007073544;4.68989e-05;0.000126814703;0.0001198775;-0.000150435;0.0;-0.0012275619;6.84166e-05;0.000157208313;0.0002707371;-0.000193856;-0.0013137483;0.0001406997;0.000312371325;0.000381661;-0.0004116865;-0.0012311609;0.000146573;0.000321677362;0.0003862927;-0.0004175924
-0.0005123982;4.26757e-05;0.000112905604;9.45406e-05;-0.000133146;0.0;-0.0007073544;4.68989e-05;0.000126814703;0.0001198775;-0.000150435;-0.0012275619;6.84166e-05;0.000157208313;0.0002707371;-0.000193856;-0.0013137483;0.0001406997;0.000312371325;0.000381661;-0.0004116865
-0.0004012312;4.56317e-05;0.00011142384;8.31697e-05;-0.000124004;0.0;-0.0005123982;4.26757e-05;0.000112905604;9.45406e-05;-0.000133146;-0.0007073544;4.68989e-05;0.000126814703;0.0001198775;-0.000150435;-0.0012275619;6.84166e-05;0.000157208313;0.0002707371;-0.000193856
-0.0003290163;4.31603e-05;0.000104159706;7.62004e-05;-0.000118319;0.0;-0.0004012312;4.56317e-05;0.00011142384;8.31697e-05;-0.000124004;-0.0005123982;4.26757e-05;0.000112905604;9.45406e-05;-0.000133146;-0.0007073544;4.68989e-05;0.000126814703;0.0001198775;-0.000150435
-0.0002636113;4.06931e-05;9.836565e-05;6.93161e-05;-0.0001101867;1.0;-0.0003290163;4.31603e-05;0.000104159706;7.62004e-05;-0.000118319;-0.0004012312;4.56317e-05;0.00011142384;8.31697e-05;-0.000124004;-0.0005123982;4.26757e-05;0.000112905604;9.45406e-05;-0.000133146
-0.0008554402;0.000161628;0.000315889367;0.0003124572;-0.0004239695;1.0;-0.0002636113;4.06931e-05;9.836565e-05;6.93161e-05;-0.0001101867;-0.0003290163;4.31603e-05;0.000104159706;7.62004e-05;-0.000118319;-0.0004012312;4.56317e-05;0.00011142384;8.31697e-05;-0.000124004
-0.0013032637;0.0001624357;0.000348306407;0.0004224628;-0.0004670946;1.0;-0.0008554402;0.000161628;0.000315889367;0.0003124572;-0.0004239695;-0.0002636113;4.06931e-05;9.836565e-05;6.93161e-05;-0.0001101867;-0.0003290163;4.31603e-05;0.000104159706;7.62004e-05;-0.000118319
-0.0015754775;0.000161736;0.00035575885;0.0004386159;-0.0004628043;1.0;-0.0013032637;0.0001624357;0.000348306407;0.0004224628;-0.0004670946;-0.0008554402;0.000161628;0.000315889367;0.0003124572;-0.0004239695;-0.0002636113;4.06931e-05;9.836565e-05;6.93161e-05;-0.0001101867
