time;N1;P1;P2;N3;P3;N1_prev1;P1_prev1;P2_prev1;N3_prev1;P3_prev1;N1_prev2;P1_prev2;P2_prev2;N3_prev2;P3_prev2;N1_prev3;P1_prev3;P2_prev3;N3_prev3;P3_prev3;AP;Predicted AP
1225.14897108078;-0.0001471837;0.0001161893;0.000141807046;0.0001056584;-0.000190268;-0.0001623278;0.0001400829;0.000183597149;0.00012853;-0.000204642;-0.0001937826;0.0001210104;0.000202369352;0.00016912;-0.000225652;-0.0002239902;0.0001730692;0.000316573627;0.0002203481;-0.000328006;0;0
1270.7101557254791;-5.41106e-05;-4.15984e-05;-3.72225441e-06;-0.00047284;-0.00023253;-5.48355e-05;-6.04433e-05;-4.24122263e-05;-0.0006506247;-0.000243029;-5.20504e-05;-0.0001007485;6.15477766e-05;-0.0008790197;-0.000242234;-6.71841e-05;-0.0001663675;0.00257654395;-0.0013988943;-7.4268e-05;0;0
1273.994283914566;-5.35001e-05;-3.21166e-05;-1.1756797e-05;-0.0003900857;-0.000220132;-5.41106e-05;-4.15984e-05;-3.72225441e-06;-0.00047284;-0.00023253;-5.48355e-05;-6.04433e-05;-4.24122263e-05;-0.0006506247;-0.000243029;-5.20504e-05;-0.0001007485;6.15477766e-05;-0.0008790197;-0.000242234;0;0
1277.3091249465942;-4.98161e-05;4.3281e-06;9.78172648e-06;-0.0003240203;-0.000203527;-5.35001e-05;-3.21166e-05;-1.1756797e-05;-0.0003900857;-0.000220132;-5.41106e-05;-4.15984e-05;-3.72225441e-06;-0.00047284;-0.00023253;-5.48355e-05;-6.04433e-05;-4.24122263e-05;-0.0006506247;-0.000243029;0;0
1280.5290529727936;-4.92349e-05;-1.68917e-05;1.59275642e-05;-0.000281193;-0.000201662;-4.98161e-05;4.3281e-06;9.78172648e-06;-0.0003240203;-0.000203527;-5.35001e-05;-3.21166e-05;-1.1756797e-05;-0.0003900857;-0.000220132;-5.41106e-05;-4.15984e-05;-3.72225441e-06;-0.00047284;-0.00023253;0;0
1283.8073027133942;-4.86612e-05;-1.71257e-05;3.400489e-05;-0.0002485988;-0.000211256;-4.92349e-05;-1.68917e-05;1.59275642e-05;-0.000281193;-0.000201662;-4.98161e-05;4.3281e-06;9.78172648e-06;-0.0003240203;-0.000203527;-5.35001e-05;-3.21166e-05;-1.1756797e-05;-0.0003900857;-0.000220132;0;0
1399.5691349506378;-7.71976e-05;-0.000797379;0.000632305106;-8.38493e-05;-7.7558e-05;-4.86192e-05;-0.000664984;0.000895441161;-2.76254e-05;-0.000102939;-3.176e-05;0.0008367829;0.00111292116;2.69306e-05;-0.000147509;2.00502e-05;0.0052417577;0.00134698476;0.0001689673;-0.000229781;0;3
1402.749142408371;-6.84229e-05;-0.0001996642;0.000594549056;-7.46001e-05;-0.00011239;-7.71976e-05;-0.000797379;0.000632305106;-8.38493e-05;-7.7558e-05;-4.86192e-05;-0.000664984;0.000895441161;-2.76254e-05;-0.000102939;-3.176e-05;0.0008367829;0.00111292116;2.69306e-05;-0.000147509;0;0
1405.7969019412994;-6.96523e-05;-0.0001051049;0.000465392048;-8.01176e-05;-5.593e-05;-6.84229e-05;-0.0001996642;0.000594549056;-7.46001e-05;-0.00011239;-7.71976e-05;-0.000797379;0.000632305106;-8.38493e-05;-7.7558e-05;-4.86192e-05;-0.000664984;0.000895441161;-2.76254e-05;-0.000102939;0;5
1409.043598651886;-7.34737e-05;-1.3228e-06;0.000405176601;-9.1339e-05;-6.2311e-05;-6.96523e-05;-0.0001051049;0.000465392048;-8.01176e-05;-5.593e-05;-6.84229e-05;-0.0001996642;0.000594549056;-7.46001e-05;-0.00011239;-7.71976e-05;-0.000797379;0.000632305106;-8.38493e-05;-7.7558e-05;0;5
