Time;Temp_PVDF_1;Temp_PVDF_2;Volt_n1_V_out;Volt_p1_V_out;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out
0;293.15;293.15;6.14E-18;1.52E-18;1.05E-17;2.82E-18;-1.42E-17;-1.97E-17
0.023;293.15;293.15;-2.32E-15;3.53E-15;-1.72E-15;6.83E-16;1.31E-15;1.49E-15
0.046;293.15;293.15;-1.93E-08;2.56E-07;2.83E-09;-1.58E-08;-2.42E-08;-1.61E-08
0.092;293.15;293.15;-5.40E-08;7.15E-07;8.57E-09;-4.37E-08;-6.74E-08;-4.47E-08
0.15;293.15;293.15;-8.61E-08;1.14E-06;1.32E-08;-7.00E-08;-1.08E-07;-7.17E-08
0.2;293.16;293.16;-1.06E-07;1.40E-06;1.61E-08;-8.63E-08;-1.32E-07;-8.84E-08
0.25;293.16;293.16;-1.30E-07;1.70E-06;1.98E-08;-1.05E-07;-1.62E-07;-1.08E-07
0.3;293.16;293.16;-1.56E-07;2.05E-06;2.39E-08;-1.27E-07;-1.95E-07;-1.30E-07
0.35;293.16;293.16;-1.83E-07;2.41E-06;2.80E-08;-1.49E-07;-2.28E-07;-1.52E-07
0.4;293.16;293.16;-2.09E-07;2.75E-06;3.20E-08;-1.70E-07;-2.61E-07;-1.74E-07
0.45;293.16;293.16;-2.35E-07;3.08E-06;3.60E-08;-1.91E-07;-2.93E-07;-1.96E-07
0.5;293.16;293.16;-2.61E-07;3.42E-06;3.99E-08;-2.12E-07;-3.25E-07;-2.17E-07
0.55;293.16;293.16;-2.86E-07;3.75E-06;4.39E-08;-2.33E-07;-3.57E-07;-2.38E-07
0.6;293.17;293.17;-3.12E-07;4.08E-06;4.79E-08;-2.53E-07;-3.89E-07;-2.60E-07
0.65;293.17;293.17;-3.38E-07;4.42E-06;5.18E-08;-2.74E-07;-4.20E-07;-2.81E-07
0.7;293.17;293.17;-3.63E-07;4.75E-06;5.58E-08;-2.95E-07;-4.52E-07;-3.02E-07
0.75;293.17;293.17;-3.89E-07;5.08E-06;5.97E-08;-3.15E-07;-4.83E-07;-3.23E-07
0.8;293.17;293.17;-4.14E-07;5.40E-06;6.36E-08;-3.36E-07;-5.15E-07;-3.44E-07
0.85;293.17;293.17;-4.39E-07;5.73E-06;6.75E-08;-3.56E-07;-5.46E-07;-3.65E-07
0.9;293.17;293.17;-4.64E-07;6.05E-06;7.14E-08;-3.77E-07;-5.77E-07;-3.86E-07
0.95;293.17;293.17;-4.89E-07;6.38E-06;7.53E-08;-3.97E-07;-6.08E-07;-4.06E-07
1;293.18;293.18;-5.14E-07;6.70E-06;7.92E-08;-4.17E-07;-6.39E-07;-4.27E-07
1.05;293.18;293.18;-5.39E-07;7.02E-06;8.31E-08;-4.37E-07;-6.69E-07;-4.47E-07
1.1;293.18;293.18;-5.64E-07;7.33E-06;8.69E-08;-4.57E-07;-7.00E-07;-4.68E-07
1.15;293.18;293.18;-5.88E-07;7.65E-06;9.08E-08;-4.77E-07;-7.30E-07;-4.88E-07
1.2;293.18;293.18;-6.13E-07;7.96E-06;9.46E-08;-4.97E-07;-7.60E-07;-5.08E-07
1.25;293.18;293.18;-6.37E-07;8.28E-06;9.84E-08;-5.17E-07;-7.90E-07;-5.29E-07
1.3;293.18;293.18;-6.62E-07;8.59E-06;1.02E-07;-5.37E-07;-8.20E-07;-5.49E-07
1.35;293.18;293.18;-6.86E-07;8.90E-06;1.06E-07;-5.56E-07;-8.50E-07;-5.69E-07
1.4;293.19;293.19;-7.10E-07;9.21E-06;1.10E-07;-5.76E-07;-8.79E-07;-5.89E-07
1.45;293.19;293.19;-7.34E-07;9.51E-06;1.14E-07;-5.95E-07;-9.09E-07;-6.08E-07
1.5;293.19;293.19;-7.58E-07;9.82E-06;1.17E-07;-6.14E-07;-9.38E-07;-6.28E-07
1.55;293.19;293.19;-7.82E-07;1.01E-05;1.21E-07;-6.34E-07;-9.67E-07;-6.48E-07
1.6;293.19;293.19;-8.05E-07;1.04E-05;1.25E-07;-6.53E-07;-9.96E-07;-6.67E-07
1.65;293.19;293.19;-8.29E-07;1.07E-05;1.29E-07;-6.72E-07;-1.02E-06;-6.86E-07
1.7;293.19;293.19;-8.52E-07;1.10E-05;1.32E-07;-6.90E-07;-1.05E-06;-7.06E-07
1.75;293.19;293.19;-8.75E-07;1.13E-05;1.36E-07;-7.09E-07;-1.08E-06;-7.25E-07
1.8;293.2;293.2;-8.98E-07;1.16E-05;1.40E-07;-7.28E-07;-1.11E-06;-7.44E-07
1.85;293.2;293.2;-9.21E-07;1.19E-05;1.43E-07;-7.47E-07;-1.14E-06;-7.63E-07
1.9;293.2;293.2;-9.44E-07;1.22E-05;1.47E-07;-7.65E-07;-1.17E-06;-7.82E-07
1.95;293.2;293.2;-9.67E-07;1.25E-05;1.51E-07;-7.83E-07;-1.19E-06;-8.00E-07
2;293.2;293.2;-9.90E-07;1.28E-05;1.54E-07;-8.02E-07;-1.22E-06;-8.19E-07
2.05;293.2;293.2;-1.01E-06;1.30E-05;1.58E-07;-8.20E-07;-1.25E-06;-8.37E-07
2.1;293.2;293.2;-1.03E-06;1.33E-05;1.61E-07;-8.37E-07;-1.27E-06;-8.54E-07
2.15;293.2;293.2;-1.05E-06;1.35E-05;1.64E-07;-8.52E-07;-1.30E-06;-8.70E-07
2.2;293.2;293.2;-1.07E-06;1.38E-05;1.67E-07;-8.67E-07;-1.32E-06;-8.85E-07
2.25;293.2;293.2;-1.09E-06;1.40E-05;1.70E-07;-8.80E-07;-1.34E-06;-8.98E-07
2.3;293.21;293.21;-1.10E-06;1.42E-05;1.72E-07;-8.93E-07;-1.36E-06;-9.11E-07
2.35;293.21;293.21;-1.12E-06;1.44E-05;1.75E-07;-9.05E-07;-1.37E-06;-9.23E-07
2.4;293.21;293.21;-1.13E-06;1.45E-05;1.77E-07;-9.16E-07;-1.39E-06;-9.34E-07
2.45;293.21;293.21;-1.14E-06;1.47E-05;1.79E-07;-9.26E-07;-1.41E-06;-9.45E-07
2.5;293.21;293.21;-1.16E-06;1.48E-05;1.81E-07;-9.36E-07;-1.42E-06;-9.55E-07
2.55;293.21;293.21;-1.17E-06;1.50E-05;1.83E-07;-9.46E-07;-1.43E-06;-9.64E-07
2.6;293.21;293.21;-1.18E-06;1.51E-05;1.85E-07;-9.55E-07;-1.45E-06;-9.73E-07
2.65;293.21;293.21;-1.19E-06;1.52E-05;1.87E-07;-9.63E-07;-1.46E-06;-9.82E-07
2.7;293.21;293.21;-1.20E-06;1.54E-05;1.89E-07;-9.72E-07;-1.47E-06;-9.90E-07
2.75;293.21;293.21;-1.21E-06;1.55E-05;1.91E-07;-9.80E-07;-1.48E-06;-9.98E-07
2.8;293.21;293.21;-1.22E-06;1.56E-05;1.92E-07;-9.88E-07;-1.50E-06;-1.01E-06
2.85;293.21;293.21;-1.23E-06;1.57E-05;1.94E-07;-9.95E-07;-1.51E-06;-1.01E-06
2.9;293.21;293.21;-1.24E-06;1.58E-05;1.96E-07;-1.00E-06;-1.52E-06;-1.02E-06
2.95;293.21;293.21;-1.25E-06;1.59E-05;1.97E-07;-1.01E-06;-1.53E-06;-1.03E-06
3;293.21;293.21;-1.26E-06;1.61E-05;1.99E-07;-1.02E-06;-1.54E-06;-1.04E-06
3.05;293.21;293.21;-1.27E-06;1.62E-05;2.01E-07;-1.03E-06;-1.55E-06;-1.05E-06
3.1;293.21;293.21;-1.28E-06;1.63E-05;2.02E-07;-1.03E-06;-1.56E-06;-1.05E-06
3.15;293.21;293.21;-1.29E-06;1.64E-05;2.04E-07;-1.04E-06;-1.57E-06;-1.06E-06
3.2;293.21;293.21;-1.30E-06;1.65E-05;2.06E-07;-1.05E-06;-1.59E-06;-1.07E-06
3.25;293.22;293.22;-1.31E-06;1.67E-05;2.08E-07;-1.06E-06;-1.60E-06;-1.08E-06
3.3;293.22;293.22;-1.33E-06;1.68E-05;2.10E-07;-1.07E-06;-1.61E-06;-1.09E-06
3.35;293.22;293.22;-1.34E-06;1.70E-05;2.12E-07;-1.08E-06;-1.63E-06;-1.10E-06
3.4;293.22;293.22;-1.35E-06;1.72E-05;2.14E-07;-1.09E-06;-1.65E-06;-1.11E-06
3.45;293.22;293.22;-1.37E-06;1.73E-05;2.16E-07;-1.10E-06;-1.66E-06;-1.12E-06
3.5;293.22;293.22;-1.38E-06;1.75E-05;2.19E-07;-1.12E-06;-1.68E-06;-1.13E-06
3.55;293.22;293.22;-1.40E-06;1.77E-05;2.22E-07;-1.13E-06;-1.70E-06;-1.15E-06
3.6;293.22;293.22;-1.42E-06;1.79E-05;2.24E-07;-1.14E-06;-1.72E-06;-1.16E-06
3.65;293.22;293.22;-1.43E-06;1.82E-05;2.27E-07;-1.16E-06;-1.74E-06;-1.18E-06
3.7;293.22;293.22;-1.45E-06;1.84E-05;2.31E-07;-1.17E-06;-1.77E-06;-1.19E-06
3.75;293.22;293.22;-1.48E-06;1.87E-05;2.34E-07;-1.19E-06;-1.79E-06;-1.21E-06
3.8;293.22;293.22;-1.50E-06;1.90E-05;2.37E-07;-1.21E-06;-1.82E-06;-1.23E-06
3.85;293.23;293.23;-1.52E-06;1.93E-05;2.41E-07;-1.23E-06;-1.85E-06;-1.25E-06
3.9;293.23;293.23;-1.55E-06;1.96E-05;2.45E-07;-1.25E-06;-1.88E-06;-1.27E-06
3.95;293.23;293.23;-1.58E-06;1.99E-05;2.50E-07;-1.27E-06;-1.91E-06;-1.29E-06
4;293.23;293.23;-1.60E-06;2.03E-05;2.54E-07;-1.30E-06;-1.95E-06;-1.32E-06
4.05;293.23;293.23;-1.64E-06;2.07E-05;2.59E-07;-1.32E-06;-1.98E-06;-1.34E-06
4.1;293.23;293.23;-1.67E-06;2.11E-05;2.64E-07;-1.35E-06;-2.02E-06;-1.37E-06
4.15;293.23;293.23;-1.71E-06;2.16E-05;2.70E-07;-1.38E-06;-2.07E-06;-1.40E-06
4.2;293.24;293.24;-1.74E-06;2.20E-05;2.76E-07;-1.41E-06;-2.11E-06;-1.43E-06
4.25;293.24;293.24;-1.78E-06;2.25E-05;2.81E-07;-1.44E-06;-2.16E-06;-1.46E-06
4.3;293.24;293.24;-1.82E-06;2.30E-05;2.88E-07;-1.47E-06;-2.21E-06;-1.49E-06
4.35;293.24;293.24;-1.86E-06;2.36E-05;2.94E-07;-1.51E-06;-2.26E-06;-1.53E-06
4.4;293.24;293.24;-1.91E-06;2.42E-05;3.02E-07;-1.54E-06;-2.32E-06;-1.57E-06
4.45;293.25;293.25;-1.96E-06;2.48E-05;3.09E-07;-1.58E-06;-2.38E-06;-1.61E-06
4.5;293.25;293.25;-2.01E-06;2.54E-05;3.17E-07;-1.62E-06;-2.44E-06;-1.65E-06
4.55;293.47;293.47;-2.07E-06;2.62E-05;3.25E-07;-1.67E-06;-2.51E-06;-1.70E-06
4.5508;293.54;293.54;-7.52E-06;9.86E-05;1.15E-06;-6.10E-06;-9.33E-06;-6.24E-06
4.551;293.54;293.54;-7.56E-06;9.91E-05;1.16E-06;-6.13E-06;-9.37E-06;-6.27E-06
4.5511;293.54;293.54;-7.60E-06;9.95E-05;1.16E-06;-6.16E-06;-9.42E-06;-6.30E-06
4.5515;293.54;293.54;-7.67E-06;1.00E-04;1.18E-06;-6.22E-06;-9.51E-06;-6.36E-06
4.5522;293.55;293.55;-7.81E-06;1.02E-04;1.20E-06;-6.34E-06;-9.68E-06;-6.48E-06
4.5535;293.57;293.57;-8.09E-06;1.06E-04;1.24E-06;-6.57E-06;-1.00E-05;-6.72E-06
4.5562;293.6;293.6;-8.68E-06;1.14E-04;1.33E-06;-7.04E-06;-1.08E-05;-7.20E-06
4.5616;293.66;293.66;-9.96E-06;1.31E-04;1.52E-06;-8.08E-06;-1.24E-05;-8.27E-06
4.567;293.73;293.73;-1.12E-05;1.47E-04;1.72E-06;-9.11E-06;-1.39E-05;-9.32E-06
4.5778;293.89;293.89;-1.43E-05;1.88E-04;2.18E-06;-1.16E-05;-1.78E-05;-1.19E-05
4.5875;294.04;294.04;-1.72E-05;2.27E-04;2.63E-06;-1.40E-05;-2.15E-05;-1.43E-05
4.607;294.37;294.37;-2.32E-05;3.05E-04;3.53E-06;-1.88E-05;-2.88E-05;-1.93E-05
4.6236;294.7;294.7;-3.01E-05;3.97E-04;4.59E-06;-2.45E-05;-3.76E-05;-2.51E-05
4.6377;295;295;-3.59E-05;4.73E-04;5.46E-06;-2.92E-05;-4.47E-05;-2.99E-05
4.6661;295.62;295.62;-4.74E-05;6.24E-04;7.19E-06;-3.85E-05;-5.91E-05;-3.94E-05
4.7228;296.95;296.95;-7.37E-05;9.70E-04;1.12E-05;-5.99E-05;-9.19E-05;-6.13E-05
4.7633;297.83;297.83;-9.09E-05;0.0011951;1.38E-05;-7.39E-05;-1.13E-04;-7.57E-05
4.8039;298.6;298.6;-1.08E-04;0.0014207;1.63E-05;-8.79E-05;-1.35E-04;-9.00E-05
4.8364;299.01;299.01;-1.14E-04;0.0014957;1.72E-05;-9.26E-05;-1.42E-04;-9.49E-05
4.8658;299.24;299.24;-1.19E-04;0.0015551;1.79E-05;-9.64E-05;-1.48E-04;-9.87E-05
4.9244;299.28;299.28;-1.28E-04;0.001674;1.93E-05;-1.04E-04;-1.59E-04;-1.06E-04
4.9526;298.93;298.93;-1.13E-04;0.0014753;1.71E-05;-9.18E-05;-1.40E-04;-9.39E-05
4.974;298.69;298.69;-1.08E-04;0.0014151;1.64E-05;-8.80E-05;-1.35E-04;-9.01E-05
4.9954;298.44;298.44;-1.04E-04;0.0013549;1.58E-05;-8.44E-05;-1.29E-04;-8.64E-05
5.0382;297.89;297.89;-9.30E-05;0.0012108;1.42E-05;-7.56E-05;-1.16E-04;-7.73E-05
5.081;297.46;297.46;-8.47E-05;0.0010995;1.29E-05;-6.87E-05;-1.05E-04;-7.03E-05
5.1237;297.11;297.11;-7.63E-05;9.88E-04;1.17E-05;-6.19E-05;-9.46E-05;-6.34E-05
5.168;296.82;296.82;-7.24E-05;9.37E-04;1.11E-05;-5.88E-05;-8.97E-05;-6.01E-05
5.2071;296.57;296.57;-6.75E-05;8.71E-04;1.04E-05;-5.48E-05;-8.35E-05;-5.60E-05
5.2463;296.32;296.32;-6.26E-05;8.06E-04;9.65E-06;-5.08E-05;-7.74E-05;-5.19E-05
5.3;296.03;296.03;-5.72E-05;7.35E-04;8.85E-06;-4.64E-05;-7.06E-05;-4.74E-05
5.35;295.78;295.78;-5.24E-05;6.70E-04;8.13E-06;-4.25E-05;-6.45E-05;-4.33E-05
5.4;295.54;295.54;-4.75E-05;6.05E-04;7.40E-06;-3.85E-05;-5.84E-05;-3.93E-05
5.45;295.34;295.34;-4.39E-05;5.57E-04;6.86E-06;-3.55E-05;-5.38E-05;-3.62E-05
5.5;295.14;295.14;-4.02E-05;5.08E-04;6.31E-06;-3.25E-05;-4.91E-05;-3.31E-05
5.55;294.97;294.97;-3.65E-05;4.60E-04;5.76E-06;-2.95E-05;-4.45E-05;-3.00E-05
5.6;294.81;294.81;-3.37E-05;4.23E-04;5.34E-06;-2.72E-05;-4.09E-05;-2.77E-05
5.65;294.66;294.66;-3.09E-05;3.85E-04;4.92E-06;-2.49E-05;-3.74E-05;-2.53E-05
5.7;294.53;294.53;-2.81E-05;3.48E-04;4.50E-06;-2.26E-05;-3.38E-05;-2.30E-05
5.75;294.41;294.41;-2.60E-05;3.21E-04;4.19E-06;-2.09E-05;-3.12E-05;-2.12E-05
5.8;294.3;294.3;-2.39E-05;2.92E-04;3.87E-06;-1.92E-05;-2.85E-05;-1.94E-05
5.85;294.2;294.2;-2.17E-05;2.64E-04;3.54E-06;-1.74E-05;-2.58E-05;-1.76E-05
5.9;294.11;294.11;-2.01E-05;2.43E-04;3.31E-06;-1.62E-05;-2.38E-05;-1.63E-05
5.95;294.02;294.02;-1.85E-05;2.22E-04;3.06E-06;-1.48E-05;-2.17E-05;-1.49E-05
6;293.94;293.94;-1.69E-05;2.00E-04;2.82E-06;-1.35E-05;-1.96E-05;-1.35E-05
6.05;293.88;293.88;-1.57E-05;1.84E-04;2.63E-06;-1.25E-05;-1.81E-05;-1.25E-05
6.1;293.81;293.81;-1.44E-05;1.68E-04;2.45E-06;-1.15E-05;-1.65E-05;-1.15E-05
6.15;293.75;293.75;-1.32E-05;1.52E-04;2.26E-06;-1.05E-05;-1.50E-05;-1.05E-05
6.2;293.7;293.7;-1.23E-05;1.40E-04;2.12E-06;-9.73E-06;-1.38E-05;-9.66E-06
6.25;293.65;293.65;-1.13E-05;1.27E-04;1.98E-06;-8.97E-06;-1.26E-05;-8.88E-06
6.3;293.61;293.61;-1.04E-05;1.15E-04;1.83E-06;-8.20E-06;-1.14E-05;-8.09E-06
6.35;293.57;293.57;-9.67E-06;1.06E-04;1.72E-06;-7.62E-06;-1.05E-05;-7.49E-06
6.4;293.53;293.53;-8.94E-06;9.63E-05;1.61E-06;-7.04E-06;-9.60E-06;-6.88E-06
6.45;293.5;293.5;-8.22E-06;8.69E-05;1.50E-06;-6.45E-06;-8.69E-06;-6.28E-06
6.5;293.47;293.47;-7.69E-06;8.00E-05;1.42E-06;-6.02E-06;-8.02E-06;-5.83E-06
6.55;293.44;293.44;-7.14E-06;7.28E-05;1.34E-06;-5.57E-06;-7.32E-06;-5.37E-06
6.6;293.41;293.41;-6.59E-06;6.57E-05;1.25E-06;-5.12E-06;-6.62E-06;-4.91E-06
6.65;293.39;293.39;-6.19E-06;6.05E-05;1.19E-06;-4.79E-06;-6.10E-06;-4.57E-06
6.7;293.37;293.37;-5.77E-06;5.51E-05;1.12E-06;-4.45E-06;-5.57E-06;-4.22E-06
6.75;293.35;293.35;-5.35E-06;4.97E-05;1.06E-06;-4.11E-06;-5.04E-06;-3.87E-06
6.8;293.33;293.33;-5.03E-06;4.56E-05;1.01E-06;-3.86E-06;-4.64E-06;-3.60E-06
6.85;293.32;293.32;-4.72E-06;4.15E-05;9.54E-07;-3.60E-06;-4.24E-06;-3.34E-06
6.9;293.3;293.3;-4.40E-06;3.75E-05;9.03E-07;-3.34E-06;-3.84E-06;-3.07E-06
6.95;293.29;293.29;-4.16E-06;3.44E-05;8.62E-07;-3.14E-06;-3.53E-06;-2.87E-06
7;293.28;293.28;-3.91E-06;3.12E-05;8.21E-07;-2.95E-06;-3.22E-06;-2.67E-06
7.05;293.26;293.26;-3.67E-06;2.81E-05;7.80E-07;-2.75E-06;-2.91E-06;-2.46E-06
7.1;293.25;293.25;-3.49E-06;2.58E-05;7.48E-07;-2.60E-06;-2.67E-06;-2.31E-06
7.15;293.25;293.25;-3.30E-06;2.34E-05;7.14E-07;-2.45E-06;-2.43E-06;-2.16E-06
7.2;293.24;293.24;-3.11E-06;2.10E-05;6.81E-07;-2.30E-06;-2.19E-06;-2.00E-06
7.25;293.23;293.23;-2.97E-06;1.93E-05;6.53E-07;-2.19E-06;-2.02E-06;-1.89E-06
7.3;293.22;293.22;-2.83E-06;1.74E-05;6.25E-07;-2.08E-06;-1.83E-06;-1.77E-06
7.35;293.22;293.22;-2.69E-06;1.56E-05;5.97E-07;-1.96E-06;-1.65E-06;-1.66E-06
7.4;293.21;293.21;-2.58E-06;1.42E-05;5.73E-07;-1.88E-06;-1.51E-06;-1.57E-06
7.45;293.2;293.2;-2.47E-06;1.29E-05;5.49E-07;-1.80E-06;-1.37E-06;-1.48E-06
7.5;293.2;293.2;-2.36E-06;1.15E-05;5.25E-07;-1.71E-06;-1.22E-06;-1.40E-06
7.55;293.2;293.2;-2.28E-06;1.04E-05;5.02E-07;-1.65E-06;-1.11E-06;-1.33E-06
7.6;293.19;293.19;-2.20E-06;9.32E-06;4.80E-07;-1.59E-06;-1.00E-06;-1.27E-06
7.65;293.19;293.19;-2.11E-06;8.24E-06;4.58E-07;-1.53E-06;-8.95E-07;-1.21E-06
7.7;293.18;293.18;-2.05E-06;7.42E-06;4.37E-07;-1.48E-06;-8.10E-07;-1.16E-06
7.75;293.18;293.18;-1.99E-06;6.58E-06;4.15E-07;-1.44E-06;-7.24E-07;-1.12E-06
7.8;293.18;293.18;-1.93E-06;5.73E-06;3.94E-07;-1.39E-06;-6.38E-07;-1.07E-06
7.85;293.18;293.18;-1.88E-06;5.09E-06;3.73E-07;-1.36E-06;-5.73E-07;-1.04E-06
7.9;293.17;293.17;-1.84E-06;4.43E-06;3.52E-07;-1.33E-06;-5.06E-07;-1.01E-06
7.95;293.17;293.17;-1.79E-06;3.76E-06;3.31E-07;-1.30E-06;-4.39E-07;-9.84E-07
8;293.17;293.17;-1.76E-06;3.24E-06;3.09E-07;-1.29E-06;-3.88E-07;-9.67E-07
8.05;293.17;293.17;-1.72E-06;2.71E-06;2.88E-07;-1.27E-06;-3.36E-07;-9.50E-07
8.1;293.17;293.17;-1.69E-06;2.18E-06;2.66E-07;-1.25E-06;-2.84E-07;-9.33E-07
8.15;293.16;293.16;-1.67E-06;1.75E-06;2.43E-07;-1.24E-06;-2.44E-07;-9.26E-07
8.2;293.16;293.16;-1.64E-06;1.32E-06;2.21E-07;-1.24E-06;-2.04E-07;-9.19E-07
8.25;293.16;293.16;-1.62E-06;8.90E-07;1.98E-07;-1.23E-06;-1.63E-07;-9.12E-07
8.3;293.16;293.16;-1.60E-06;5.29E-07;1.74E-07;-1.23E-06;-1.32E-07;-9.13E-07
8.35;293.16;293.16;-1.59E-06;1.65E-07;1.50E-07;-1.23E-06;-1.01E-07;-9.15E-07
8.4;293.16;293.16;-1.57E-06;-2.00E-07;1.26E-07;-1.23E-06;-6.93E-08;-9.17E-07
8.45;293.16;293.16;-1.57E-06;-5.06E-07;9.99E-08;-1.24E-06;-4.57E-08;-9.26E-07
8.5;293.16;293.16;-1.56E-06;-8.20E-07;7.41E-08;-1.25E-06;-2.16E-08;-9.35E-07
8.55;293.16;293.16;-1.55E-06;-1.13E-06;4.83E-08;-1.26E-06;2.59E-09;-9.45E-07
8.6;293.16;293.16;-1.55E-06;-1.40E-06;2.09E-08;-1.27E-06;2.03E-08;-9.61E-07
8.65;293.16;293.16;-1.55E-06;-1.68E-06;-6.64E-09;-1.29E-06;3.83E-08;-9.77E-07
8.7;293.16;293.16;-1.54E-06;-1.96E-06;-3.42E-08;-1.30E-06;5.64E-08;-9.93E-07
8.75;293.15;293.15;-1.55E-06;-2.20E-06;-6.36E-08;-1.32E-06;6.94E-08;-1.01E-06
8.8;293.15;293.15;-1.55E-06;-2.45E-06;-9.30E-08;-1.35E-06;8.25E-08;-1.04E-06
8.85;293.15;293.15;-1.55E-06;-2.70E-06;-1.22E-07;-1.37E-06;9.55E-08;-1.06E-06
8.9;293.15;293.15;-1.56E-06;-2.94E-06;-1.54E-07;-1.39E-06;1.05E-07;-1.09E-06
8.95;293.15;293.15;-1.57E-06;-3.17E-06;-1.85E-07;-1.42E-06;1.14E-07;-1.11E-06
9;293.15;293.15;-1.57E-06;-3.40E-06;-2.16E-07;-1.44E-06;1.23E-07;-1.14E-06
9.05;293.15;293.15;-1.58E-06;-3.62E-06;-2.49E-07;-1.47E-06;1.28E-07;-1.17E-06
9.1;293.15;293.15;-1.59E-06;-3.84E-06;-2.82E-07;-1.51E-06;1.34E-07;-1.20E-06
9.15;293.15;293.15;-1.60E-06;-4.07E-06;-3.16E-07;-1.54E-06;1.39E-07;-1.23E-06
9.2;293.15;293.15;-1.62E-06;-4.28E-06;-3.50E-07;-1.57E-06;1.42E-07;-1.27E-06
9.25;293.15;293.15;-1.63E-06;-4.49E-06;-3.85E-07;-1.60E-06;1.45E-07;-1.31E-06
9.3;293.15;293.15;-1.65E-06;-4.70E-06;-4.21E-07;-1.64E-06;1.46E-07;-1.34E-06
9.35;293.15;293.15;-1.66E-06;-4.91E-06;-4.56E-07;-1.68E-06;1.48E-07;-1.38E-06
9.4;293.15;293.15;-1.68E-06;-5.12E-06;-4.93E-07;-1.72E-06;1.47E-07;-1.42E-06
9.45;293.15;293.15;-1.69E-06;-5.32E-06;-5.29E-07;-1.75E-06;1.47E-07;-1.46E-06
9.5;293.15;293.15;-1.71E-06;-5.53E-06;-5.67E-07;-1.80E-06;1.45E-07;-1.50E-06
9.55;293.15;293.15;-1.73E-06;-5.73E-06;-6.05E-07;-1.84E-06;1.43E-07;-1.54E-06
9.6;293.15;293.15;-1.75E-06;-5.94E-06;-6.43E-07;-1.88E-06;1.40E-07;-1.59E-06
9.65;293.15;293.15;-1.77E-06;-6.14E-06;-6.82E-07;-1.92E-06;1.37E-07;-1.63E-06
9.7;293.15;293.15;-1.79E-06;-6.35E-06;-7.21E-07;-1.97E-06;1.33E-07;-1.68E-06
9.75;293.15;293.15;-1.81E-06;-6.55E-06;-7.60E-07;-2.01E-06;1.28E-07;-1.72E-06
9.8;293.15;293.15;-1.83E-06;-6.75E-06;-8.00E-07;-2.06E-06;1.23E-07;-1.77E-06
9.85;293.15;293.15;-1.85E-06;-6.95E-06;-8.41E-07;-2.10E-06;1.17E-07;-1.82E-06
9.9;293.15;293.15;-1.88E-06;-7.15E-06;-8.81E-07;-2.15E-06;1.11E-07;-1.87E-06
9.95;293.15;293.15;-1.90E-06;-7.35E-06;-9.22E-07;-2.20E-06;1.04E-07;-1.92E-06
10;293.15;293.15;-1.92E-06;-7.55E-06;-9.64E-07;-2.25E-06;9.69E-08;-1.97E-06
10.05;293.15;293.15;-1.95E-06;-7.75E-06;-1.01E-06;-2.30E-06;8.92E-08;-2.02E-06
10.1;293.15;293.15;-1.97E-06;-7.95E-06;-1.05E-06;-2.35E-06;8.10E-08;-2.07E-06
10.15;293.15;293.15;-2.00E-06;-8.15E-06;-1.09E-06;-2.40E-06;7.25E-08;-2.12E-06
10.2;293.15;293.15;-2.02E-06;-8.35E-06;-1.13E-06;-2.45E-06;6.35E-08;-2.17E-06
10.25;293.15;293.15;-2.05E-06;-8.55E-06;-1.17E-06;-2.50E-06;5.41E-08;-2.23E-06
10.3;293.15;293.15;-2.07E-06;-8.75E-06;-1.22E-06;-2.55E-06;4.44E-08;-2.28E-06
10.35;293.15;293.15;-2.10E-06;-8.95E-06;-1.26E-06;-2.60E-06;3.44E-08;-2.33E-06
10.4;293.15;293.15;-2.13E-06;-9.14E-06;-1.30E-06;-2.66E-06;2.36E-08;-2.39E-06
10.45;293.15;293.15;-2.15E-06;-9.34E-06;-1.35E-06;-2.71E-06;1.28E-08;-2.44E-06
10.5;293.15;293.15;-2.18E-06;-9.54E-06;-1.39E-06;-2.76E-06;2.13E-09;-2.50E-06
10.55;293.15;293.15;-2.21E-06;-9.73E-06;-1.43E-06;-2.82E-06;-9.43E-09;-2.55E-06
